species,model,gene1,gene2,inhibition_A,inhibition_B,growth_ratio,fitness
K. pneumoniae,iYL1228,murA,murD,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.55,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murD,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,murD,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.55,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murE,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,murE,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.55,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,murF,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,murF,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.55,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxA,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxA,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.325,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.55,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxB,0.775,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxB,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.1,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.55,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxC,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxC,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.325,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.55,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,lpxD,0.775,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,1.0,0.1,-0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,lpxD,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.1,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.325,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.55,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabI,0.775,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,fabI,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,fabH,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.1,1.0,0.998029,0.001971
K. pneumoniae,iYL1228,murA,fabH,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.325,1.0,0.998029,0.001971
K. pneumoniae,iYL1228,murA,fabH,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.55,1.0,0.998029,0.001971
K. pneumoniae,iYL1228,murA,fabH,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,fabH,0.775,1.0,0.998029,0.001971
K. pneumoniae,iYL1228,murA,fabH,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,fabH,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,fabH,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,fabH,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,fabH,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,accA,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,accA,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.325,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,accA,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.55,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,accA,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,accA,0.775,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,accA,1.0,0.1,-0.0,1.0
K. pneumoniae,iYL1228,murA,accA,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,accA,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,accA,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,accA,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.1,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.55,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folA,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,folA,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,folP,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.1,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.325,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.55,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,0.775,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,folP,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,folP,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,folP,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,folP,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,folP,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,ispD,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.1,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.325,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.55,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,0.775,1.0,1.0,0.0
K. pneumoniae,iYL1228,murA,ispD,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,ispD,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,ispD,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,ispD,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,ispD,1.0,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,0.1,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.1,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.1,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.1,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.1,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,0.325,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.325,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.325,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.325,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.325,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,0.55,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.55,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.55,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.55,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.55,1.0,-0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,0.775,0.1,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.775,0.325,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.775,0.55,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.775,0.775,1.0,0.0
K. pneumoniae,iYL1228,murA,msbA,0.775,1.0,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,1.0,0.1,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,1.0,0.325,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,1.0,0.55,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,1.0,0.775,0.0,1.0
K. pneumoniae,iYL1228,murA,msbA,1.0,1.0,0.0,1.0
